01:05:50.917295 Log continuation - Log started 2018-11-23T12:13:56.819610600Z
01:05:51.455714 2D support test succeeded
01:05:51.830741 GUI: UIMediumEnumerator: Medium-enumeration finished!
01:13:16.623183 GUI: UIMediumEnumerator: Medium-enumeration started...
01:13:17.232598 GUI: UIMediumEnumerator: Medium-enumeration finished!
01:14:17.411696 GUI: UIMediumEnumerator: Medium-enumeration started...
01:14:17.938663 GUI: UIMediumEnumerator: Medium-enumeration finished!
01:15:27.259894 GUI: UIMediumEnumerator: Medium-enumeration started...
01:15:27.759928 GUI: UIMediumEnumerator: Medium-enumeration finished!
01:15:40.287833 GUI: UIMediumEnumerator: Medium-enumeration started...
01:15:40.819119 GUI: UIMediumEnumerator: Medium-enumeration finished!
01:15:51.934527 GUI: UIMediumEnumerator: Medium-enumeration started...
01:15:52.490393 GUI: UIMediumEnumerator: Medium-enumeration finished!
01:15:57.531432 GUI: UIMediumEnumerator: Medium-enumeration started...
01:15:58.050174 GUI: UIMediumEnumerator: Medium-enumeration finished!
01:16:09.480636 GUI: UIMediumEnumerator: Medium-enumeration started...
01:16:10.029666 GUI: UIMediumEnumerator: Medium-enumeration finished!
